 Year,Week,collected,A _H1,A _H1N1_pdm09,A _H3,A_H5,A _not_subtyped,A_Total,B_Yamagata_lineage,B_Victoria_lineage,B_lineage_not_determined,B_Total_,Total_flu_positive,time
2005,1,,2,,400,,711,1113,,,166,166,1279,1
2005,2,,2,,298,,631,931,,,182,182,1113,2
2005,3,,2,,374,,889,1265,,,211,211,1476,3
2005,4,,1,,511,,1045,1557,,,306,306,1863,4
2005,5,,0,,686,,1214,1900,,,424,424,2324,5
2005,6,,2,,638,,1451,2091,,,478,478,2569,6
2005,7,,2,,688,,1396,2086,,,613,613,2699,7
2005,8,,1,,523,,1133,1657,,,617,617,2274,8
2005,9,,0,,227,,949,1176,,,518,518,1694,9
2005,10,,0,,161,,633,794,,,415,415,1209,10
2005,11,,0,,146,,489,635,,,466,466,1101,11
2005,12,,0,,102,,303,405,,,455,455,860,12
2005,13,,3,,54,,167,224,,,341,341,565,13
2005,14,,0,,47,,95,142,,,210,210,352,14
2005,15,,0,,14,,39,53,,,123,123,176,15
2005,16,,1,,21,,26,48,,,73,73,121,16
2005,17,,0,,12,,12,24,,,40,40,64,17
2005,18,,0,,10,,8,18,,,30,30,48,18
2005,19,,0,,13,,5,18,,,18,18,36,19
2005,20,,0,,20,,3,23,,,16,16,39,20
2005,21,,0,,9,,3,12,,,20,20,32,21
2005,22,,0,,6,,3,9,,,15,15,24,22
2005,23,,0,,4,,0,4,,,8,8,12,23
2005,24,,0,,3,,1,4,,,10,10,14,24
2005,25,,0,,5,,1,6,,,5,5,11,25
2005,26,,0,,0,,6,6,,,1,1,7,26
2005,27,,0,,1,,0,1,,,4,4,5,27
2005,28,,0,,0,,0,0,,,2,2,2,28
2005,29,,0,,0,,1,1,,,2,2,3,29
2005,30,,0,,1,,0,1,,,1,1,2,30
2005,31,,0,,0,,0,0,,,,,0,31
2005,32,,0,,3,,1,4,,,,,4,32
2005,33,,1,,0,,4,5,,,,,5,33
2005,34,,0,,2,,0,2,,,,,2,34
2005,35,,0,,0,,3,3,,,1,1,4,35
2005,36,,0,,1,,0,1,,,,,1,36
2005,37,,0,,4,,0,4,,,1,1,5,37
2005,38,,0,,0,,0,0,,,,,0,38
2005,39,,0,,0,,0,0,,,,,0,39
2005,40,,0,,6,,4,10,,,1,1,11,40
2005,41,,0,,6,,4,10,,,1,1,11,41
2005,42,,0,,12,,6,18,,,5,5,23,42
2005,43,,0,,6,,5,11,,,2,2,13,43
2005,44,,0,,13,,4,17,,,3,3,20,44
2005,45,,1,,21,,12,34,,,6,6,40,45
2005,46,,2,,18,,16,36,,,4,4,40,46
2005,47,,0,,18,,17,35,,,3,3,38,47
2005,48,,1,,53,,29,83,,,2,2,85,48
2005,49,,1,,109,,64,174,,,8,8,182,49
2005,50,,0,,233,,92,325,,,5,5,330,50
2005,51,,0,,266,,325,591,,,9,9,600,51
2005,52,,2,,312,,322,636,,,18,18,654,52
2006,1,,0,,226,,255,481,,,21,21,502,53
2006,2,,4,,293,,324,621,,,13,13,634,54
2006,3,,4,,278,,331,613,,,15,15,628,55
2006,4,,4,,299,,428,731,,,23,23,754,56
2006,5,,5,,302,,463,770,,,50,50,820,57
2006,6,,9,,304,,520,833,,,96,96,929,58
2006,7,,15,,338,,618,971,,,94,94,1065,59
2006,8,,16,,346,,767,1129,,,130,130,1259,60
2006,9,,27,,421,,726,1174,,,263,263,1437,61
2006,10,,51,,392,,750,1193,,,317,317,1510,62
2006,11,,37,,265,,516,818,,,322,322,1140,63
2006,12,,76,,164,,435,675,,,354,354,1029,64
2006,13,,61,,121,,288,470,,,387,387,857,65
2006,14,,38,,53,,171,262,,,285,285,547,66
2006,15,,23,,50,,112,185,,,208,208,393,67
2006,16,,23,,30,,58,111,,,203,203,314,68
2006,17,,10,,1,,38,49,,,117,117,166,69
2006,18,,3,,4,,40,47,,,79,79,126,70
2006,19,,0,,0,,36,36,,,64,64,100,71
2006,20,,1,,1,,8,10,,,41,41,51,72
2006,21,0,0,0,0,0,0,0,0,0,0,0,0,73
2006,22,0,0,0,0,0,0,0,0,0,0,0,0,74
2006,23,0,0,0,0,0,0,0,0,0,0,0,0,75
2006,24,0,0,0,0,0,0,0,0,0,0,0,0,76
2006,25,0,0,0,0,0,0,0,0,0,0,0,0,77
2006,26,0,0,0,0,0,0,0,0,0,0,0,0,78
2006,27,0,0,0,0,0,0,0,0,0,0,0,0,79
2006,28,0,0,0,0,0,0,0,0,0,0,0,0,80
2006,29,0,0,0,0,0,0,0,0,0,0,0,0,81
2006,30,0,0,0,0,0,0,0,0,0,0,0,0,82
2006,31,0,0,0,0,0,0,0,0,0,0,0,0,83
2006,32,0,0,0,0,0,0,0,0,0,0,0,0,84
2006,33,0,0,0,0,0,0,0,0,0,0,0,0,85
2006,34,0,0,0,0,0,0,0,0,0,0,0,0,86
2006,35,0,0,0,0,0,0,0,0,0,0,0,0,87
2006,36,0,0,0,0,0,0,0,0,0,0,0,0,88
2006,37,0,0,0,0,0,0,0,0,0,0,0,0,89
2006,38,0,0,0,0,0,0,0,0,0,0,0,0,90
2006,39,0,0,0,0,0,0,0,0,0,0,0,0,91
2006,40,,13,,2,,26,41,,,15,15,56,92
2006,41,,20,,1,,37,58,,,9,9,67,93
2006,42,,17,,4,,37,58,,,22,22,80,94
2006,43,,13,,2,,46,61,,,23,23,84,95
2006,44,,25,,1,,75,101,,,42,42,143,96
2006,45,,18,,1,,93,112,,,43,43,155,97
2006,46,,25,,2,,74,101,,,32,32,133,98
2006,47,,21,,2,,110,133,,,28,28,161,99
2006,48,,43,,1,,111,155,,,54,54,209,100
2006,49,,55,,2,,145,202,,,62,62,264,101
2006,50,,106,,9,,306,421,,,120,120,541,102
2006,51,,194,,10,,392,596,,,133,133,729,103
2006,52,,201,,14,,366,581,,,123,123,704,104
2007,1,,128,,14,,240,382,,,86,86,468,105
2007,2,,180,,35,,293,508,,,86,86,594,106
2007,3,,174,,44,,420,638,,,80,80,718,107
2007,4,,310,,86,,760,1156,,,154,154,1310,108
2007,5,,367,,107,,1172,1646,,,203,203,1849,109
2007,6,,497,,133,,1491,2121,,,411,411,2532,110
2007,7,,430,,133,,1544,2107,,,416,416,2523,111
2007,8,,297,,156,,1388,1841,,,526,526,2367,112
2007,9,,201,,192,,1006,1399,,,550,550,1949,113
2007,10,,169,,199,,751,1119,,,470,470,1589,114
2007,11,,147,,207,,569,923,,,430,430,1353,115
2007,12,,65,,165,,491,721,,,369,369,1090,116
2007,13,,59,,173,,322,554,,,211,211,765,117
2007,14,,33,,101,,228,362,,,156,156,518,118
2007,15,,31,,186,,158,375,,,140,140,515,119
2007,16,,28,,126,,138,292,,,81,81,373,120
2007,17,,21,,119,,86,226,,,68,68,294,121
2007,18,,15,,81,,51,147,,,56,56,203,122
2007,19,,7,,38,,43,88,,,38,38,126,123
2007,20,,3,,23,,39,65,,,27,27,92,124
2007,21,,4,,32,,34,70,,,14,14,84,125
2007,22,,2,,7,,12,21,,,9,9,30,126
2007,23,,1,,5,,10,16,,,4,4,20,127
2007,24,,0,,6,,13,19,,,7,7,26,128
2007,25,,3,,1,,2,6,,,2,2,8,129
2007,26,,0,,1,,10,11,,,4,4,15,130
2007,27,,2,,3,,8,13,,,5,5,18,131
2007,28,,4,,8,,9,21,,,2,2,23,132
2007,29,,4,,3,,8,15,,,1,1,16,133
2007,30,,14,,7,,14,35,,,2,2,37,134
2007,31,,2,,6,,14,22,,,2,2,24,135
2007,32,,11,,5,,14,30,,,4,4,34,136
2007,33,,7,,2,,10,19,,,,,19,137
2007,34,,1,,0,,21,22,,,1,1,23,138
2007,35,,10,,0,,13,23,,,7,7,30,139
2007,36,,10,,0,,14,24,,,,,24,140
2007,37,,14,,1,,8,23,,,7,7,30,141
2007,38,,11,,1,,15,27,,,3,3,30,142
2007,39,,3,,1,,16,20,,,,,20,143
2007,40,,17,,2,,20,39,,,5,5,44,144
2007,41,,19,,3,,22,44,,,0,0,44,145
2007,42,,16,,2,,28,46,,,2,2,48,146
2007,43,,16,,2,,27,45,,,5,5,50,147
2007,44,,10,,0,,53,63,,,11,11,74,148
2007,45,,17,,10,,47,74,,,11,11,85,149
2007,46,,24,,6,,55,85,,,2,2,87,150
2007,47,,35,,2,,90,127,,,13,13,140,151
2007,48,,49,,12,,50,111,,,13,13,124,152
2007,49,,35,,10,,112,157,,,22,22,179,153
2007,50,,53,,22,,116,191,,,27,27,218,154
2007,51,,70,,28,,165,263,,,50,50,313,155
2007,52,,80,,26,,260,366,,,85,85,451,156
2008,1,,96,,59,,318,473,,,106,106,579,157
2008,2,,179,,143,,528,850,,,161,161,1011,158
2008,3,,220,,204,,702,1126,,,210,210,1336,159
2008,4,,223,,386,,1208,1817,,,338,338,2155,160
2008,5,,262,,634,,2263,3159,,,659,659,3818,161
2008,6,,268,,836,,2740,3844,,,889,889,4733,162
2008,7,,211,,833,,2620,3664,,,1079,1079,4743,163
2008,8,,190,,973,,2663,3826,,,1360,1360,5186,164
2008,9,,132,,802,,2041,2975,,,1396,1396,4371,165
2008,10,,74,,628,,1477,2179,,,1366,1366,3545,166
2008,11,,79,,485,,897,1461,,,1083,1083,2544,167
2008,12,,49,,397,,589,1035,,,908,908,1943,168
2008,13,,14,,175,,413,602,,,776,776,1378,169
2008,14,,12,,105,,258,375,,,505,505,880,170
2008,15,,6,,52,,140,198,,,410,410,608,171
2008,16,,0,,32,,82,114,,,233,233,347,172
2008,17,,5,,10,,44,59,,,126,126,185,173
2008,18,,1,,9,,36,46,,,79,79,125,174
2008,19,,0,,10,,12,22,,,42,42,64,175
2008,20,,0,,4,,14,18,,,19,19,37,176
2008,21,,1,,4,,9,14,,,15,15,29,177
2008,22,,0,,2,,7,9,,,10,10,19,178
2008,23,,0,,1,,11,12,,,5,5,17,179
2008,24,,0,,0,,4,4,,,7,7,11,180
2008,25,,0,,2,,3,5,,,2,2,7,181
2008,26,,0,,0,,0,0,,,6,6,6,182
2008,27,,0,,0,,1,1,,,3,3,4,183
2008,28,,1,,1,,0,2,,,4,4,6,184
2008,29,,0,,0,,2,2,,,2,2,4,185
2008,30,,1,,5,,3,9,,,0,0,9,186
2008,31,,0,,1,,2,3,,,4,4,7,187
2008,32,,1,,0,,5,6,,,1,1,7,188
2008,33,,0,,0,,0,0,,,1,1,1,189
2008,34,,1,,1,,1,3,,,3,3,6,190
2008,35,,0,,0,,2,2,,,3,3,5,191
2008,36,,1,,0,,5,6,,,0,0,6,192
2008,37,,0,,2,,7,9,,,2,2,11,193
2008,38,,0,,1,,9,10,,,2,2,12,194
2008,39,,0,,0,,5,5,,,2,2,7,195
2008,40,,3,,0,,8,11,,,6,6,17,196
2008,41,,4,,4,,8,16,,,6,6,22,197
2008,42,,13,,3,,15,31,,,6,6,37,198
2008,43,,22,,0,,24,46,,,14,14,60,199
2008,44,,12,,3,,21,36,,,5,5,41,200
2008,45,,32,,2,,23,57,,,11,11,68,201
2008,46,,25,,2,,23,50,,,12,12,62,202
2008,47,,27,,1,,31,59,,,23,23,82,203
2008,48,,40,,1,,47,88,,,24,24,112,204
2008,49,,43,,6,,57,106,,,14,14,120,205
2008,50,,71,,9,,66,146,,,37,37,183,206
2008,51,,73,,19,,108,200,,,56,56,256,207
2008,52,,71,,12,,153,236,,,51,51,287,208
2009,1,6613,111,,19,,177,307,,,50,50,357,209
2009,2,6980,163,,27,,300,490,,,78,78,568,210
2009,3,7024,195,,22,,421,638,,,104,104,742,211
2009,4,7959,353,,46,,666,1065,,,189,189,1254,212
2009,5,9496,555,,78,,940,1573,,,380,380,1953,213
2009,6,11750,671,,52,,1386,2109,,,688,688,2797,214
2009,7,12716,823,,66,,1361,2250,,,945,945,3195,215
2009,8,11801,840,,70,,1065,1975,,,931,931,2906,216
2009,9,11983,700,,57,,1011,1768,,,1147,1147,2915,217
2009,10,11020,533,,65,,896,1494,,,1158,1158,2652,218
2009,11,9679,386,,67,,635,1088,,,1062,1062,2150,219
2009,12,8726,355,,62,,439,856,,,926,926,1782,220
2009,13,7425,269,,45,,293,607,,,636,636,1243,221
2009,14,5835,121,,27,,180,328,,,471,471,799,222
2009,15,5171,102,1,37,,130,270,,,283,283,553,223
2009,16,4713,39,1,29,,84,153,,,186,186,339,224
2009,17,4197,41,18,33,,77,169,,,113,113,282,225
2009,18,35381,669,1493,851,,489,3502,,,787,787,4289,226
2009,19,33653,491,2518,709,,713,4431,,,490,490,4921,227
2009,20,16456,145,1785,259,,626,2815,,,134,134,2949,228
2009,21,15035,72,2673,260,,777,3782,,,93,93,3875,229
2009,22,12971,32,2840,258,,962,4092,,,42,42,4134,230
2009,23,13036,27,3646,425,,873,4971,,,26,26,4997,231
2009,24,13284,29,3922,261,,1195,5407,,,15,15,5422,232
2009,25,13847,15,4395,216,,1288,5914,,,9,9,5923,233
2009,26,11940,9,3166,72,,998,4245,,,7,7,4252,234
2009,27,10510,81,2389,38,,748,3256,,,7,7,3263,235
2009,28,10271,1,2590,41,,616,3248,,,7,7,3255,236
2009,29,9520,11,2087,28,,511,2637,,,4,4,2641,237
2009,30,8323,19,1856,15,,406,2296,,,3,3,2299,238
2009,31,8851,25,1879,11,,794,2709,,,4,4,2713,239
2009,32,7896,17,1298,7,,489,1811,,,3,3,1814,240
2009,33,7988,4,1265,8,,436,1713,,,5,5,1718,241
2009,34,9135,2,1600,16,,484,2102,,,1,1,2103,242
2009,35,10937,8,1383,12,,728,2131,,,14,14,2145,243
2009,36,14443,2,1884,13,0,1087,2986,0,0,4,4,2990,244
2009,37,16842,1,2294,6,0,1462,3763,0,0,11,11,3774,245
2009,38,18726,5,2617,3,0,1707,4332,0,0,5,5,4337,246
2009,39,19498,4,2858,6,0,1724,4592,0,0,18,18,4610,247
2009,40,20564,4,3847,7,0,1863,5721,0,0,17,17,5738,248
2009,41,24567,1,6121,2,0,2046,8170,0,0,19,19,8189,249
2009,42,29035,2,8627,0,0,2211,10840,0,0,18,18,10858,250
2009,43,31866,2,9735,2,0,2342,12081,0,0,30,30,12111,251
2009,44,27992,1,7738,2,0,2010,9751,0,0,19,19,9770,252
2009,45,24861,3,6081,3,0,1464,7551,0,0,30,30,7581,253
2009,46,21720,1,4629,1,0,1157,5788,0,0,9,9,5797,254
2009,47,18198,1,2715,0,0,725,3441,0,0,13,13,3454,255
2009,48,13199,1,1408,3,0,448,1860,0,0,7,7,1867,256
2009,49,12978,1,997,0,0,316,1314,0,0,9,9,1323,257
2009,50,11195,1,610,3,0,185,799,0,0,3,3,802,258
2009,51,10473,0,480,3,0,172,655,0,0,6,6,661,259
2009,52,8437,3,251,0,0,135,389,0,0,3,3,392,260
2009,53,9454,0,285,1,0,134,420,0,0,8,8,428,261
2010,1,9600,0,266,0,0,92,358,0,0,8,8,366,262
2010,2,8678,1,261,2,0,120,384,0,0,12,12,396,263
2010,3,8626,0,317,1,0,126,444,0,0,3,3,447,264
2010,4,8622,0,268,3,0,122,393,0,0,9,9,402,265
2010,5,8485,0,290,0,0,108,398,0,0,6,6,404,266
2010,6,8270,0,238,0,0,114,352,0,0,9,9,361,267
2010,7,8463,0,260,0,0,114,374,0,0,6,6,380,268
2010,8,8106,0,316,1,0,104,421,0,0,3,3,424,269
2010,9,7620,0,338,0,0,102,440,0,0,5,5,445,270
2010,10,7525,0,359,0,0,102,461,0,0,14,14,475,271
2010,11,6500,0,259,1,0,87,347,0,0,4,4,351,272
2010,12,5645,0,178,1,0,58,237,0,0,9,9,246,273
2010,13,5285,0,167,1,0,64,232,0,0,5,5,237,274
2010,14,4567,0,96,1,0,30,127,0,0,0,0,127,275
2010,15,3993,0,56,1,0,20,77,0,0,2,2,79,276
2010,16,3816,0,17,2,0,27,46,0,0,6,6,52,277
2010,17,3754,0,16,0,0,13,29,0,0,8,8,37,278
2010,18,3142,0,20,1,0,9,30,0,0,1,1,31,279
2010,19,2845,0,6,2,0,15,23,0,0,3,3,26,280
2010,20,2921,0,7,1,0,7,16,0,0,3,3,19,281
2010,21,2711,0,0,0,0,6,6,0,0,2,2,8,282
2010,22,2196,0,3,0,0,3,6,0,0,2,2,8,283
2010,23,2190,0,1,1,0,3,5,0,0,3,3,8,284
2010,24,2077,0,1,4,0,2,7,0,0,4,4,11,285
2010,25,1975,0,3,4,0,4,11,0,0,0,0,11,286
2010,26,1846,0,1,1,0,4,6,0,0,1,1,7,287
2010,27,1623,0,0,3,0,1,4,0,0,0,0,4,288
2010,28,1634,0,1,6,0,1,8,0,0,2,2,10,289
2010,29,1589,0,2,2,0,4,8,0,0,4,4,12,290
2010,30,1706,0,1,13,0,5,19,0,0,5,5,24,291
2010,31,1559,0,4,9,0,4,17,0,0,2,2,19,292
2010,32,1702,0,7,10,0,5,22,0,0,10,10,32,293
2010,33,1816,0,5,11,0,2,18,0,0,3,3,21,294
2010,34,2001,0,10,17,0,10,37,0,0,8,8,45,295
2010,35,2282,0,7,11,0,10,28,0,0,6,6,34,296
2010,36,2397,0,9,16,0,14,39,0,0,7,7,46,297
2010,37,2769,0,5,30,0,15,50,0,0,14,14,64,298
2010,38,2870,0,0,28,0,18,46,0,0,21,21,67,299
2010,39,3063,0,2,17,0,23,42,0,0,20,20,62,300
2010,40,3724,0,7,17,0,30,54,0,0,23,23,77,301
2010,41,4100,0,13,36,0,43,92,0,0,36,36,128,302
2010,42,4239,0,8,35,0,53,96,0,0,45,45,141,303
